time,ch1,ch2,ch3,button
1197.0,1.66,0.0,1.65,0
1199.0,1.42,0.0,1.65,0
1201.0,1.29,0.0,1.71,0
1203.0,1.51,0.0,1.61,0
1205.0,1.49,0.0,1.4,0
1206.0,1.4,0.0,1.45,0
1208.0,1.74,0.0,1.39,0
1210.0,1.78,0.0,1.24,0
1212.0,1.62,0.0,1.11,0
1214.0,1.67,0.0,1.11,0
1216.0,1.69,0.0,1.21,0
1218.0,1.65,0.0,1.29,0
1220.0,1.67,0.0,1.4,0
1222.0,1.7,0.0,1.39,0
1224.0,1.75,0.0,1.31,0
1226.0,1.73,0.0,1.32,0
1228.0,1.8,0.0,1.51,0
1230.0,1.87,0.0,1.56,0
1232.0,1.91,0.0,1.42,0
1234.0,1.92,0.0,1.32,0
1236.0,1.84,0.0,1.3,0
1239.0,1.82,0.0,1.45,0
1241.0,1.84,0.0,1.5,0
1243.0,1.76,0.0,1.44,0
1245.0,1.64,0.0,1.48,0
1247.0,1.8,0.0,1.45,0
1249.0,1.8,0.0,1.33,0
1250.0,1.75,0.0,1.34,0
1252.0,1.77,0.0,1.34,0
1254.0,1.77,0.0,1.4,0
1256.0,1.53,0.0,1.49,0
1258.0,1.57,0.01,1.55,0
1260.0,1.37,0.06,1.51,0
1262.0,1.37,0.22,1.5,0
1264.0,1.59,0.25,1.5,0
1266.0,1.68,0.23,1.53,0
1268.0,1.68,0.07,1.48,0
1270.0,1.63,0.06,1.5,0
1272.0,1.61,0.0,1.58,0
1274.0,1.55,0.04,1.56,0
1276.0,1.5,0.13,1.59,0
1278.0,1.68,0.26,1.77,0
1281.0,1.83,0.38,1.83,0
1283.0,1.77,0.43,1.77,0
1285.0,1.37,0.3,1.7,0
1287.0,1.29,0.21,1.61,0
1289.0,1.51,0.15,1.66,0
1291.0,1.57,0.18,1.71,0
1292.0,1.52,0.05,1.77,0
1294.0,1.49,0.0,1.72,0
1296.0,1.37,0.04,1.64,0
1298.0,1.46,0.25,1.53,0
1300.0,1.53,0.36,1.5,0
1302.0,1.52,0.37,1.51,0
1304.0,1.55,0.35,1.51,0
1306.0,1.44,0.21,1.62,0
1308.0,1.44,0.0,1.65,0
1310.0,1.44,0.0,1.61,0
1312.0,1.43,0.0,1.36,0
1314.0,1.41,0.0,1.25,0
1316.0,1.42,0.0,1.33,0
1318.0,1.45,0.09,1.52,0
1320.0,1.45,0.24,1.51,0
1323.0,1.33,0.39,1.59,0
1325.0,1.3,0.55,1.64,0
1327.0,1.4,0.62,1.59,0
1329.0,1.43,0.58,1.51,0
1331.0,1.4,0.55,1.45,0
1333.0,1.31,0.59,1.54,0
1334.0,1.41,0.61,1.72,0
1336.0,1.35,0.75,1.77,0
1338.0,1.29,1.0,1.82,0
1340.0,1.4,0.99,1.78,0
1342.0,1.34,1.05,1.75,0
1344.0,1.38,0.99,1.64,0
1346.0,1.55,0.95,1.42,0
1348.0,1.36,0.72,1.25,0
1350.0,1.36,0.54,1.24,0
1352.0,1.42,0.47,1.27,0
1354.0,1.43,0.51,1.32,0
1356.0,1.47,0.47,1.26,0
1358.0,1.26,0.61,1.23,0
1360.0,1.17,0.71,1.29,0
1362.0,1.23,0.83,1.47,0
1364.0,1.31,0.83,1.56,0
1367.0,1.29,0.82,1.45,0
1369.0,1.32,0.71,1.4,0
1371.0,1.41,0.57,1.36,0
1373.0,1.44,0.58,1.27,0
1375.0,1.28,0.64,1.39,0
1377.0,1.25,0.79,1.31,0
1378.0,1.31,0.97,1.26,0
1380.0,1.33,1.06,1.38,0
1382.0,1.21,1.25,1.54,0
1384.0,1.37,1.29,1.41,0
1386.0,1.5,1.11,1.13,0
1388.0,1.5,0.98,1.06,0
1390.0,1.47,1.04,0.99,0
1392.0,1.43,0.99,1.01,0
1394.0,1.43,1.04,0.98,0
1396.0,1.32,1.22,1.0,0
1398.0,1.25,1.47,1.09,0
1400.0,1.34,1.52,1.11,0
1402.0,1.39,1.65,1.1,0
1404.0,1.39,1.64,1.09,0
1406.0,1.34,1.54,1.28,0
