time,ch1,ch2
1852.0,0.0,0.0
1854.0,0.0,0.04
1856.0,0.0,0.33
1858.0,0.0,0.57
1860.0,0.0,0.41
1862.0,0.0,0.54
1864.0,0.0,0.72
1866.0,0.0,0.85
1869.0,0.0,0.87
1871.0,0.0,1.16
1873.0,0.0,1.36
1875.0,0.0,1.49
1877.0,0.0,1.68
1879.0,0.0,1.77
1881.0,0.0,1.77
1883.0,0.0,1.73
1885.0,0.0,1.81
1886.0,0.0,1.99
1888.0,0.0,2.15
1890.0,0.0,2.23
1892.0,0.0,2.38
1894.0,0.0,2.3
1896.0,0.0,2.29
1898.0,0.0,2.29
1900.0,0.0,2.35
1902.0,0.0,2.4
1904.0,0.0,2.45
1906.0,0.0,2.52
1908.0,0.0,2.64
1911.0,0.0,2.64
1913.0,0.0,2.72
1915.0,0.0,2.74
1917.0,0.0,2.78
1919.0,0.0,2.82
1921.0,0.0,3.11
1923.0,0.0,3.1
1925.0,0.0,2.97
1927.0,0.0,2.99
1929.0,0.0,2.95
1930.0,0.0,2.85
1932.0,0.0,2.57
1934.0,0.0,2.41
1936.0,0.0,2.42
1938.0,0.0,2.48
1940.0,0.0,2.5
1942.0,0.0,2.69
1944.0,0.0,2.74
1946.0,0.0,2.69
1948.0,0.0,2.79
1950.0,0.0,2.79
1952.0,0.0,2.7
1955.0,0.0,2.54
1957.0,0.0,2.42
1959.0,0.0,2.21
1961.0,0.0,1.87
1963.0,0.0,1.65
1965.0,0.0,1.5
1967.0,0.0,1.5
1969.0,0.0,1.62
1971.0,0.0,1.59
1972.0,0.0,1.69
1974.0,0.0,1.79
1976.0,0.0,1.67
1978.0,0.0,1.6
1980.0,0.0,1.55
1982.0,0.0,1.51
1984.0,0.0,1.48
1986.0,0.0,1.53
1988.0,0.0,1.49
1990.0,0.0,1.55
1992.0,0.0,1.64
1994.0,0.0,1.56
1997.0,0.0,1.62
1999.0,0.0,1.52
2001.0,0.0,1.34
2003.0,0.0,1.31
2005.0,0.0,1.19
2007.0,0.0,1.06
2009.0,0.0,1.15
2011.0,0.0,1.42
2013.0,0.0,1.48
2015.0,0.0,1.5
2016.0,0.0,1.53
2018.0,0.0,1.64
2020.0,0.46,1.6
2022.0,1.19,1.62
2024.0,1.79,1.74
2026.0,2.33,1.76
2028.0,2.82,1.69
2030.0,3.05,1.67
2032.0,3.2,1.64
2034.0,3.3,1.63
2036.0,3.3,1.67
2039.0,3.3,1.83
2041.0,3.3,1.94
2043.0,3.1,1.91
2045.0,2.87,1.82
2047.0,3.03,2.01
2049.0,3.19,2.01
2051.0,2.84,1.96
2053.0,2.77,2.16
2055.0,2.79,2.18
2057.0,2.4,2.09
2058.0,2.09,2.05
2060.0,2.31,1.89
2062.0,2.72,1.75
2064.0,2.46,1.59
2066.0,2.59,1.59
2068.0,3.07,1.51
2070.0,3.3,1.56
2072.0,3.3,1.48
2074.0,3.3,1.59
2076.0,3.3,1.63
2078.0,3.3,1.67
2080.0,3.3,1.66
2083.0,2.97,1.66
2085.0,2.66,1.54
2087.0,2.66,1.66
2089.0,2.03,1.72
2091.0,1.43,1.84
2093.0,1.62,1.86
2095.0,1.81,1.84
