time,ch1,ch2
2077.0,1.62,1.3
2079.0,1.54,1.38
2081.0,1.38,1.45
2083.0,1.33,1.55
2085.0,1.35,1.55
2087.0,1.47,1.54
2089.0,1.54,1.45
2092.0,1.56,1.32
2094.0,1.62,1.36
2096.0,1.7,1.54
2098.0,1.69,1.65
2100.0,1.6,1.7
2102.0,1.45,1.76
2104.0,1.38,1.81
2106.0,1.36,1.79
2108.0,1.42,1.69
2110.0,1.46,1.54
2112.0,1.52,1.36
2113.0,1.53,1.37
2115.0,1.55,1.54
2117.0,1.49,1.58
2119.0,1.51,1.66
2121.0,1.4,1.66
2123.0,1.38,1.7
2125.0,1.42,1.74
2127.0,1.53,1.6
2129.0,1.57,1.5
2131.0,1.59,1.35
2134.0,1.56,1.37
2136.0,1.57,1.5
2138.0,1.54,1.62
2140.0,1.44,1.65
2142.0,1.31,1.69
2144.0,1.25,1.76
2146.0,1.31,1.78
2148.0,1.38,1.71
2150.0,1.46,1.56
2152.0,1.49,1.36
2154.0,1.56,1.44
2155.0,1.54,1.45
2157.0,1.48,1.51
2159.0,1.41,1.75
2161.0,1.33,1.74
2163.0,1.32,1.75
2165.0,1.34,1.7
2167.0,1.4,1.56
2169.0,1.46,1.37
2171.0,1.53,1.22
2173.0,1.53,1.26
2176.0,1.52,1.47
2178.0,1.5,1.52
2180.0,1.46,1.63
2182.0,1.32,1.6
2184.0,1.26,1.71
2186.0,1.31,1.74
2188.0,1.34,1.62
2190.0,1.42,1.84
2192.0,1.48,1.65
2194.0,1.6,1.63
2196.0,1.55,1.55
2198.0,1.54,1.54
2199.0,1.49,1.57
2201.0,1.36,1.57
2203.0,1.34,1.57
2205.0,1.44,1.67
2207.0,1.48,1.37
2209.0,1.55,1.15
2211.0,1.57,1.0
2213.0,1.61,1.09
2215.0,1.62,1.18
2217.0,1.59,1.27
2220.0,1.54,1.33
2222.0,1.39,1.36
